
"WU03EW - Location of usual residence and place of work by method of travel to work (MSOA level)"
"ONS Crown Copyright Reserved [from Nomis on 28 February 2025]"
"Population :","All usual residents aged 16 and over in employment the week before the census"
"Units      :","Persons"
"Date       :","2011"
"Method of travel to work:","All categories: Method of travel to work (2001 specification)"

 ,"place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work"
"E02003108 : South Gloucestershire 019",2,2,1,0,0,0,3,2,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,3,2,1,2,0,0,1,3,0,0,1,6,1,0,0,2,1,2,1,2,0,1,1,1,0,0,2,0,13,0,0,0,1,0,1,1,0,0,0,2,0,2,0,0,0,0,0,0,0,1,10,1,2,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,2,6,2,5,3,3,3,2,2,5,0,1,0,0,2,8,2,15,0,7,1,1,3,2,2,3,4,5,0,1,2
"E02003109 : South Gloucestershire 020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,2,1,0,0,0,1,0,2,0,1,4,0,0,1,0,0,9,0,0,1,0,0,0,7,0,0,0,0,0,2,0,0,1,0,0,0,0,0,12,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,0,1,1,1,0,3,0,0,0,0,1,14,2,1,7,6,5,0,0,1,1,0,3,0,0,3,0
"E02003110 : South Gloucestershire 021",3,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,3,0,0,0,0,7,1,3,0,0,3,0,1,6,1,2,7,1,0,0,1,1,24,1,0,0,2,0,1,3,0,2,1,0,0,3,0,0,1,0,0,0,0,0,23,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,2,6,1,1,4,0,3,3,0,0,0,0,32,4,12,3,20,4,4,3,3,10,0,3,1,1,5,3
"E02003111 : South Gloucestershire 022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,1,0,0,0,0,1,0,2,3,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,12,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,1,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,1,1,0,0,1,1,0,0,1,0,21,3,6,1,3,5,0,1,3,3,0,0,0,0,1,2
"E02003112 : South Gloucestershire 023",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,2,2,0,1,0,1,0,0,10,0,0,2,0,0,2,1,1,0,2,2,0,0,1,2,0,7,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,11,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,2,1,0,0,2,0,3,1,1,0,0,2,13,3,9,0,7,6,3,0,4,8,3,1,3,2,2,3
"E02003113 : South Gloucestershire 024",3,3,0,0,0,0,14,3,2,3,0,3,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,8,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,3,0,2,5,1,4,1,2,3,2,0,0,0,2,8,0,4,0,2,0,0,23,2,3,0,0,1,2,3,5
"E02003114 : South Gloucestershire 025",0,1,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,7,1,1,0,0,0,3,1,4,0,0,9,1,2,0,1,0,17,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,4,9,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,5,0,0,0,0,0,2,1,0,0,0,1,11,1,16,1,12,5,0,3,16,8,1,8,0,4,3,2
"E02003115 : South Gloucestershire 026",0,0,1,0,0,0,1,2,2,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,0,0,0,1,1,1,0,1,9,3,0,0,1,3,2,0,7,1,2,7,0,3,1,3,1,19,0,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,2,15,2,5,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,3,0,2,0,3,0,4,0,0,0,0,2,24,0,11,0,7,7,0,2,8,14,2,11,1,1,2,4
"E02003116 : South Gloucestershire 027",1,0,3,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,0,0,4,0,2,4,0,2,0,1,2,2,4,0,1,0,18,1,0,2,1,0,4,3,0,1,0,3,1,0,0,2,0,1,0,0,0,0,7,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,9,1,1,0,0,0,6,0,1,0,0,1,13,2,12,0,10,2,0,1,4,9,9,9,9,5,1,8
"E02003117 : South Gloucestershire 028",1,1,2,0,0,0,1,2,1,0,0,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,2,0,2,0,0,0,0,4,1,2,0,0,0,1,0,2,0,1,8,1,2,1,1,1,21,1,0,2,1,0,1,0,0,1,1,2,0,0,0,0,0,1,0,0,0,1,23,1,6,2,0,0,0,0,0,0,0,1,0,0,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,3,0,4,1,0,0,5,0,3,1,0,0,0,1,15,3,2,0,3,1,0,1,2,4,2,12,2,4,4,14
"E02003118 : South Gloucestershire 029",5,0,3,0,1,0,2,2,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,3,3,1,2,0,2,3,0,0,0,5,4,0,5,1,2,2,22,1,0,1,0,0,3,4,0,0,0,3,0,1,0,2,2,1,0,0,0,3,32,1,5,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,2,2,1,1,3,0,3,1,0,1,0,1,5,4,11,0,4,0,2,6,4,8,1,17,23,3,6,7
"E02003119 : South Gloucestershire 030",6,8,5,0,0,1,3,4,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,6,2,0,0,1,1,1,0,6,0,3,4,0,0,0,2,0,12,1,0,6,1,0,3,4,1,2,0,2,0,0,0,2,0,0,1,0,1,1,25,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,3,1,3,3,2,3,1,0,3,0,0,0,0,2,16,0,9,1,1,1,3,9,3,6,0,6,8,13,6,27
"E02003120 : South Gloucestershire 031",5,2,0,0,0,0,1,1,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,1,0,5,1,0,0,1,0,4,0,3,0,3,8,0,1,0,1,1,20,0,0,4,1,0,1,2,0,0,0,2,0,0,0,1,0,0,0,0,0,3,26,2,4,0,0,0,0,2,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,2,3,1,0,0,0,3,0,0,0,0,0,4,2,4,0,1,1,1,1,2,10,3,11,1,5,10,10
"E02003121 : South Gloucestershire 032",7,5,6,0,0,0,9,3,2,1,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,2,1,1,1,0,1,0,4,1,3,3,1,2,0,1,0,14,1,0,2,0,0,2,3,0,1,0,1,0,1,0,0,0,0,0,0,1,3,23,1,6,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,1,0,0,1,0,2,2,0,0,0,0,11,2,5,0,2,0,0,9,8,3,0,3,7,8,6,32



"","In order to protect against disclosure of personal information, records"
"","have been swapped between different geographic areas. Some counts will"
"","be affected, particularly small counts at the lowest geographies"
"",""







"WU03EW - Location of usual residence and place of work by method of travel to work (MSOA level)"
"ONS Crown Copyright Reserved [from Nomis on 28 February 2025]"
"Population :","All usual residents aged 16 and over in employment the week before the census"
"Units      :","Persons"
"Date       :","2011"
"Method of travel to work:","Bicycle"

 ,"place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work"
"usual residence : 2011 super output area - middle layer","E02002985 : Bath and North East Somerset 001","E02002986 : Bath and North East Somerset 002","E02002987 : Bath and North East Somerset 003","E02002988 : Bath and North East Somerset 004","E02002989 : Bath and North East Somerset 005","E02002990 : Bath and North East Somerset 006","E02002991 : Bath and North East Somerset 007","E02002992 : Bath and North East Somerset 008","E02002993 : Bath and North East Somerset 009","E02002994 : Bath and North East Somerset 010","E02002995 : Bath and North East Somerset 011","E02002996 : Bath and North East Somerset 012","E02002997 : Bath and North East Somerset 013","E02002998 : Bath and North East Somerset 014","E02002999 : Bath and North East Somerset 015","E02003000 : Bath and North East Somerset 016","E02003001 : Bath and North East Somerset 017","E02003002 : Bath and North East Somerset 018","E02003003 : Bath and North East Somerset 019","E02003004 : Bath and North East Somerset 020","E02003005 : Bath and North East Somerset 021","E02003006 : Bath and North East Somerset 022","E02003007 : Bath and North East Somerset 023","E02003008 : Bath and North East Somerset 024","E02003009 : Bath and North East Somerset 025","E02003010 : Bath and North East Somerset 026","E02003011 : Bath and North East Somerset 027","E02003012 : Bristol 001","E02003013 : Bristol 002","E02003014 : Bristol 003","E02003015 : Bristol 004","E02003016 : Bristol 005","E02003017 : Bristol 006","E02003018 : Bristol 007","E02003019 : Bristol 008","E02003020 : Bristol 009","E02003021 : Bristol 010","E02003022 : Bristol 011","E02003023 : Bristol 012","E02003024 : Bristol 013","E02003025 : Bristol 014","E02003026 : Bristol 015","E02003027 : Bristol 016","E02003028 : Bristol 017","E02003029 : Bristol 018","E02003030 : Bristol 019","E02003031 : Bristol 020","E02003032 : Bristol 021","E02003033 : Bristol 022","E02003034 : Bristol 023","E02003036 : Bristol 025","E02003037 : Bristol 026","E02003038 : Bristol 027","E02003039 : Bristol 028","E02003040 : Bristol 029","E02003041 : Bristol 030","E02003043 : Bristol 032","E02003044 : Bristol 033","E02003045 : Bristol 034","E02003046 : Bristol 035","E02003047 : Bristol 036","E02003048 : Bristol 037","E02003049 : Bristol 038","E02003050 : Bristol 039","E02003051 : Bristol 040","E02003052 : Bristol 041","E02003053 : Bristol 042","E02003054 : Bristol 043","E02003055 : Bristol 044","E02003056 : Bristol 045","E02003057 : Bristol 046","E02003058 : Bristol 047","E02003059 : Bristol 048","E02003060 : Bristol 049","E02003061 : Bristol 050","E02003062 : Bristol 051","E02003063 : Bristol 052","E02003064 : Bristol 053","E02006887 : Bristol 054","E02006888 : Bristol 055","E02006889 : Bristol 056","E02006890 : Bristol 057","E02003065 : North Somerset 001","E02003066 : North Somerset 002","E02003067 : North Somerset 003","E02003068 : North Somerset 004","E02003069 : North Somerset 005","E02003070 : North Somerset 006","E02003071 : North Somerset 007","E02003072 : North Somerset 008","E02003073 : North Somerset 009","E02003074 : North Somerset 010","E02003075 : North Somerset 011","E02003076 : North Somerset 012","E02003077 : North Somerset 013","E02003078 : North Somerset 014","E02003079 : North Somerset 015","E02003080 : North Somerset 016","E02003081 : North Somerset 017","E02003082 : North Somerset 018","E02003084 : North Somerset 020","E02003085 : North Somerset 021","E02003086 : North Somerset 022","E02003087 : North Somerset 023","E02003088 : North Somerset 024","E02003089 : North Somerset 025","E02006845 : North Somerset 026","E02006846 : North Somerset 027","E02003090 : South Gloucestershire 001","E02003091 : South Gloucestershire 002","E02003092 : South Gloucestershire 003","E02003093 : South Gloucestershire 004","E02003094 : South Gloucestershire 005","E02003095 : South Gloucestershire 006","E02003096 : South Gloucestershire 007","E02003097 : South Gloucestershire 008","E02003098 : South Gloucestershire 009","E02003099 : South Gloucestershire 010","E02003100 : South Gloucestershire 011","E02003101 : South Gloucestershire 012","E02003102 : South Gloucestershire 013","E02003103 : South Gloucestershire 014","E02003104 : South Gloucestershire 015","E02003105 : South Gloucestershire 016","E02003106 : South Gloucestershire 017","E02003107 : South Gloucestershire 018","E02003108 : South Gloucestershire 019","E02003109 : South Gloucestershire 020","E02003110 : South Gloucestershire 021","E02003111 : South Gloucestershire 022","E02003112 : South Gloucestershire 023","E02003113 : South Gloucestershire 024","E02003114 : South Gloucestershire 025","E02003115 : South Gloucestershire 026","E02003116 : South Gloucestershire 027","E02003117 : South Gloucestershire 028","E02003118 : South Gloucestershire 029","E02003119 : South Gloucestershire 030","E02003120 : South Gloucestershire 031","E02003121 : South Gloucestershire 032"

"E02002985 : Bath and North East Somerset 001",5,2,7,1,0,0,9,2,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,1,0,1,1,0,0,2,0,0,0,0,4,0,2,1,0,0,1,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1
"E02002986 : Bath and North East Somerset 002",5,2,4,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
"E02002987 : Bath and North East Somerset 003",2,1,8,0,0,1,4,2,1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,1,0,3,0,1,0,0,2,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0
"E02002988 : Bath and North East Somerset 004",0,1,0,14,0,5,45,8,13,2,0,20,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02002989 : Bath and North East Somerset 005",1,0,0,1,1,2,28,23,14,0,3,10,0,1,2,1,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02002990 : Bath and North East Somerset 006",0,1,0,7,0,1,31,17,21,2,0,18,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0
"E02002991 : Bath and North East Somerset 007",0,0,0,9,4,1,16,17,8,4,0,23,1,0,0,2,1,1,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"E02002992 : Bath and North East Somerset 008",0,0,1,5,4,3,71,18,26,1,2,16,0,1,1,2,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"E02002993 : Bath and North East Somerset 009",0,0,1,3,1,4,42,15,16,3,4,11,1,2,0,2,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"E02002994 : Bath and North East Somerset 010",0,0,1,3,0,8,61,8,22,13,4,19,0,0,1,1,0,9,2,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"E02002995 : Bath and North East Somerset 011",0,0,0,1,1,2,36,12,13,0,1,9,1,0,0,2,2,2,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02002996 : Bath and North East Somerset 012",0,1,1,3,1,2,32,12,4,6,0,22,0,1,0,3,0,1,1,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02002997 : Bath and North East Somerset 013",0,0,0,1,1,4,39,15,16,1,2,13,0,0,0,0,1,3,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"E02002998 : Bath and North East Somerset 014",0,0,0,3,0,1,30,8,6,0,4,12,2,2,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02002999 : Bath and North East Somerset 015",0,0,0,0,0,0,31,5,3,1,6,17,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0
"E02003000 : Bath and North East Somerset 016",6,2,4,0,0,5,18,9,2,0,1,7,1,0,0,12,1,2,0,0,0,5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,4,0,0,0,0,0,0,3,0,2,0,2,0,1,1,0,0,0,0,0,0,0,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"E02003001 : Bath and North East Somerset 017",1,0,1,1,0,1,14,15,11,0,2,17,0,0,0,0,4,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02003002 : Bath and North East Somerset 018",0,1,0,2,0,1,17,5,4,1,0,30,0,0,0,0,5,10,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02003003 : Bath and North East Somerset 019",0,0,0,1,0,1,16,4,6,1,0,21,3,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02003004 : Bath and North East Somerset 020",0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,3,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
